                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.59183,                0.70401,                0.88574,                0.91552,                 0.8395,                0.92341,                0.69695,                0.80605,                0.75171,                 1.0186,             0.00082775,             0.00082775,             0.00082775
                     36,                0.62571,                0.63433,                0.89039,                0.93552,                0.76481,                0.89636,                0.68462,                0.80206,                 0.8221,                 1.0154,             0.00081006,             0.00081006,             0.00081006
                     37,                0.58163,                0.63522,                0.88149,                0.82207,                 0.6925,                0.81729,                0.63385,                0.83117,                 1.0116,                 1.0592,             0.00079238,             0.00079238,             0.00079238
                     38,                0.58405,                0.61454,                 0.8711,                0.80738,                0.70483,                0.78795,                0.61752,                0.82907,                 1.0352,                 1.0797,              0.0007747,              0.0007747,              0.0007747
                     39,                0.62455,                0.62856,                0.87521,                0.87045,                0.71584,                 0.8685,                0.65193,                 0.8449,                0.91891,                 1.0858,             0.00075701,             0.00075701,             0.00075701
                     40,                 0.5736,                0.61645,                 0.8719,                0.79662,                0.76501,                0.88303,                0.68607,                0.81965,                0.80581,                  1.056,             0.00073933,             0.00073933,             0.00073933
                     41,                0.55598,                0.55214,                0.86984,                 0.8677,                0.74148,                0.88492,                0.66229,                 0.8281,                0.72751,                 1.0573,             0.00072164,             0.00072164,             0.00072164
                     42,                 0.5462,                0.55411,                0.86538,                0.86473,                0.82084,                0.90091,                0.67373,                0.83961,                0.72006,                 1.0706,             0.00070396,             0.00070396,             0.00070396
                     43,                0.55204,                0.56717,                  0.877,                0.87593,                0.79687,                0.88193,                0.67673,                 0.8348,                0.71396,                 1.0794,             0.00068628,             0.00068628,             0.00068628
                     44,                0.54181,                0.54873,                0.86641,                0.88913,                0.85087,                0.91923,                0.70215,                0.82456,                 0.6203,                 1.0783,             0.00066859,             0.00066859,             0.00066859
                     45,                0.57258,                0.57961,                 0.8654,                0.93862,                0.84323,                0.92931,                0.71357,                0.80095,                0.59631,                 1.0566,             0.00065091,             0.00065091,             0.00065091
                     46,                0.57786,                 0.5644,                0.87073,                0.84255,                0.84933,                0.90162,                0.69503,                0.81866,                0.65631,                 1.0745,             0.00063323,             0.00063323,             0.00063323
