                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.55414,                0.64694,                 0.5193,                 0.8494,                0.91906,                0.87515,                0.92935,                0.74132,                0.91147,                0.86767,                0.92057,                0.73284,                0.72505,                 1.1999,                0.56868,                0.96359,             0.00018577,             0.00018577,             0.00018577
                      2,                0.55261,                0.68549,                0.53634,                0.85117,                0.92484,                0.88409,                0.92569,                0.72325,                0.92484,                0.88409,                 0.9262,                0.69893,                0.75153,                 1.2639,                0.59982,                0.98312,             0.00038106,             0.00038106,             0.00038106
                      3,                0.55413,                0.63823,                0.54046,                0.85028,                0.89089,                0.89337,                0.92921,                0.74576,                0.90579,                0.85462,                 0.9167,                0.71533,                0.74057,                 1.4074,                0.63129,                0.97835,             0.00057139,             0.00057139,             0.00057139
                      4,                0.57275,                0.63468,                0.54061,                0.86592,                0.93083,                0.82852,                0.88992,                0.67897,                0.93083,                0.82852,                0.87269,                0.66802,                0.83111,                 1.6921,                0.75903,                 1.0444,             0.00075677,             0.00075677,             0.00075677
                      5,                0.58313,                0.67222,                0.60691,                 0.8954,                 0.8872,                0.82521,                0.88791,                0.71271,                0.89876,                0.83513,                 0.8776,                0.70476,                 0.8114,                 1.5447,                 0.7721,                 1.0243,              0.0009372,              0.0009372,              0.0009372
                      6,                0.58464,                0.67191,                0.60216,                0.88114,                0.88614,                0.79058,                0.86568,                0.65308,                0.87067,                0.77288,                0.85112,                0.64736,                0.84537,                 1.6625,                0.83206,                 1.0165,              0.0011127,              0.0011127,              0.0011127
                      7,                0.61469,                0.70629,                0.60977,                0.87745,                0.94623,                0.76781,                0.87487,                0.65814,                0.94623,                0.76781,                0.84377,                0.63958,                0.85776,                  1.849,                0.74221,                 1.0289,              0.0012832,              0.0012832,              0.0012832
                      8,                0.60512,                0.68381,                0.63504,                0.88358,                0.87756,                0.84731,                 0.8925,                0.66192,                0.84488,                0.81461,                0.85376,                0.62603,                0.86089,                 2.2695,                 0.7793,                 1.0199,              0.0013052,              0.0013052,              0.0013052
                      9,                0.60933,                0.70309,                 0.5784,                0.87005,                0.90393,                0.82071,                0.86215,                 0.6563,                0.87771,                0.79559,                0.82324,                0.61847,                0.85698,                 2.1797,                0.80846,                 1.0322,              0.0012875,              0.0012875,              0.0012875
                     10,                0.59792,                0.67935,                0.59504,                0.88467,                0.78378,                0.84146,                0.88182,                0.67355,                0.78378,                0.84146,                0.87224,                0.67985,                 0.8913,                 1.4988,                  0.809,                 1.0702,              0.0012698,              0.0012698,              0.0012698
                     11,                0.61711,                0.72459,                0.59713,                0.88999,                0.87505,                0.82071,                0.85013,                0.63271,                0.95207,                0.79527,                0.87959,                0.63529,                 0.9271,                  1.442,                0.76808,                 1.0524,              0.0012522,              0.0012522,              0.0012522
                     12,                0.63298,                0.77681,                0.65503,                0.89609,                 0.7605,                0.78125,                0.80238,                0.58153,                0.76003,                0.77488,                0.77932,                0.58698,                0.95019,                 1.4994,                0.89627,                 1.0465,              0.0012345,              0.0012345,              0.0012345
                     13,                0.60553,                0.72939,                0.59514,                0.87569,                0.72757,                0.77525,                0.76535,                0.58877,                0.77279,                0.73232,                0.76942,                0.55372,                0.90695,                 1.3712,                 1.0159,                 1.0353,              0.0012168,              0.0012168,              0.0012168
                     14,                0.58493,                0.68012,                0.59185,                0.87993,                0.80206,                0.85859,                0.87489,                0.67897,                0.87529,                0.80026,                0.87891,                0.67824,                0.82579,                 1.2737,                0.75011,                 1.0185,              0.0011991,              0.0011991,              0.0011991
                     15,                0.58797,                0.65791,                0.56496,                0.88094,                0.92921,                0.84618,                0.92025,                 0.6909,                0.92787,                0.82516,                0.89707,                0.67856,                0.85263,                 1.4443,                0.67056,                 1.0644,              0.0011814,              0.0011814,              0.0011814
                     16,                0.59995,                0.69039,                0.57821,                0.87895,                0.85157,                 0.7859,                 0.8542,                0.64081,                0.85157,                 0.7859,                0.84066,                0.64652,                  0.874,                 1.6201,                0.79268,                 1.0939,              0.0011637,              0.0011637,              0.0011637
                     17,                0.59701,                0.70735,                0.59306,                0.87544,                 0.9151,                0.71552,                0.83949,                0.61646,                0.89912,                0.70168,                0.81706,                0.58317,                 0.9261,                 1.7645,                0.85937,                 1.1017,              0.0011461,              0.0011461,              0.0011461
                     18,                0.61009,                 0.7502,                0.59158,                0.87151,                0.77543,                0.72488,                0.77025,                0.59069,                0.77543,                0.72488,                0.76595,                0.58282,                0.88919,                 1.7103,                0.97406,                 1.0936,              0.0011284,              0.0011284,              0.0011284
                     19,                 0.5798,                0.66643,                0.55507,                0.88114,                0.82176,                0.76276,                0.80159,                0.61102,                0.81299,                0.75518,                0.78952,                0.59978,                0.87384,                  1.584,                0.84062,                 1.1036,              0.0011107,              0.0011107,              0.0011107
                     20,                0.58709,                0.69707,                0.57236,                0.88519,                0.86604,                0.83464,                0.87615,                0.65391,                0.85418,                0.82454,                 0.8591,                0.61369,                0.83941,                 1.7685,                0.71717,                  1.037,               0.001093,               0.001093,               0.001093
                     21,                 0.5795,                0.66035,                0.55241,                0.89013,                0.86663,                0.86979,                0.90603,                0.68758,                 0.8577,                0.82988,                0.87666,                0.64633,                0.80474,                 1.7394,                0.64816,                 1.0119,              0.0010753,              0.0010753,              0.0010753
                     22,                0.57172,                0.65169,                0.54547,                0.87679,                0.80485,                0.86359,                0.89663,                0.66819,                0.76462,                0.81517,                0.84656,                0.65771,                0.82235,                 1.7618,                0.69564,                 1.0231,              0.0010576,              0.0010576,              0.0010576
                     23,                0.57469,                0.64721,                0.53885,                0.87272,                0.85442,                0.81815,                0.88054,                0.65772,                0.83318,                0.79878,                0.84955,                0.66117,                0.82795,                 1.6279,                 0.7723,                 1.0356,                0.00104,                0.00104,                0.00104
                     24,                0.61053,                 0.6628,                0.56692,                0.88032,                0.93164,                0.81715,                0.88805,                0.65804,                0.92249,                0.80957,                0.86027,                 0.6669,                 0.8191,                 1.4699,                0.73627,                 1.0276,              0.0010223,              0.0010223,              0.0010223
                     25,                0.61448,                0.68822,                0.56216,                 0.8916,                0.87839,                0.84451,                0.89472,                0.68658,                0.87019,                0.83707,                0.88419,                0.67754,                0.83228,                 1.4152,                0.68708,                 1.0475,              0.0010046,              0.0010046,              0.0010046
                     26,                0.57293,                0.64515,                0.54182,                0.86516,                0.88258,                0.80479,                0.91983,                0.69075,                0.82725,                0.83215,                0.90083,                0.67272,                0.88435,                 1.5113,                0.72722,                 1.0781,              0.0009869,              0.0009869,              0.0009869
                     27,                 0.5755,                0.59709,                0.51663,                0.87031,                  0.834,                0.86107,                0.89586,                0.65119,                0.87209,                0.80387,                0.86629,                0.64586,                0.93595,                 1.6861,                0.68583,                 1.0959,             0.00096922,             0.00096922,             0.00096922
                     28,                 0.5913,                0.63649,                0.52971,                0.86793,                0.88347,                0.86377,                0.91044,                0.69044,                0.86653,                0.84862,                0.87447,                0.68023,                0.84399,                 1.5422,                0.62949,                 1.0515,             0.00095154,             0.00095154,             0.00095154
                     29,                0.58564,                0.64275,                0.52274,                0.87566,                0.87401,                0.85748,                0.92499,                0.69712,                0.86554,                 0.8499,                0.90159,                0.70084,                0.79981,                 1.5103,                0.66855,                 1.0086,             0.00093385,             0.00093385,             0.00093385
                     30,                0.53383,                0.66048,                0.49687,                0.84924,                0.80898,                0.82239,                0.89133,                0.70439,                0.81615,                 0.8244,                0.88721,                0.67613,                 0.7884,                 1.4405,                0.69283,                 1.0148,             0.00091617,             0.00091617,             0.00091617
                     31,                0.52804,                0.65448,                0.47896,                0.85964,                0.89965,                0.89646,                0.93966,                0.72286,                0.87951,                0.87879,                0.90387,                0.69941,                0.81309,                  1.447,                0.59728,                 1.0246,             0.00089848,             0.00089848,             0.00089848
                     32,                0.55138,                0.68698,                0.47974,                0.86693,                0.92731,                0.84609,                0.94066,                0.70682,                  0.906,                0.82842,                0.88938,                  0.691,                0.82808,                 1.4275,                0.63122,                 1.0238,              0.0008808,              0.0008808,              0.0008808
                     33,                0.52984,                0.59612,                0.46972,                0.86745,                0.91905,                0.86549,                0.92692,                0.69216,                0.89822,                0.84793,                0.88131,                0.66852,                0.84013,                 1.5242,                0.68755,                 1.0326,             0.00086312,             0.00086312,             0.00086312
                     34,                0.53466,                0.62444,                0.47642,                0.85851,                0.94581,                0.83743,                0.91198,                0.71122,                0.94581,                0.83743,                0.90723,                0.68822,                0.83225,                 1.5174,                0.62574,                 1.0401,             0.00084543,             0.00084543,             0.00084543
                     35,                0.50118,                0.55523,                0.47032,                 0.8557,                0.94274,                0.83703,                0.92014,                0.72825,                0.96109,                0.84393,                0.92134,                0.71077,                0.77682,                 1.4843,                0.54466,                 1.0133,             0.00082775,             0.00082775,             0.00082775
