                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.51062,                0.58162,                0.43582,                0.86197,                 0.9168,                0.80237,                0.91483,                0.69353,                0.90438,                0.79415,                 0.8752,                0.68663,                0.83563,                 1.5786,                0.61988,                 1.0451,             0.00086312,             0.00086312,             0.00086312
                     26,                0.46082,                0.53187,                 0.4085,                0.83798,                0.88389,                0.84409,                  0.908,                0.69525,                 0.8724,                0.83402,                0.87498,                0.70799,                0.80513,                  1.717,                 0.6283,                 1.0059,             0.00083954,             0.00083954,             0.00083954
                     27,                0.47062,                0.54112,                0.40668,                0.84037,                0.90375,                0.82496,                0.92315,                0.70747,                0.90375,                0.82496,                0.91718,                0.70413,                0.81724,                 1.7847,                0.61126,                 1.0129,             0.00081596,             0.00081596,             0.00081596
                     28,                0.46282,                0.55669,                0.42547,                0.83644,                 0.9087,                 0.8639,                0.93701,                0.71378,                 0.9087,                 0.8639,                 0.9254,                0.71155,                0.81241,                 1.7728,                0.59669,                  1.023,             0.00079238,             0.00079238,             0.00079238
                     29,                0.45754,                0.52959,                0.40061,                0.84466,                0.95197,                0.81233,                0.91903,                0.71724,                0.95197,                0.81233,                0.92087,                0.71579,                0.78747,                 1.7804,                0.63683,                 1.0135,              0.0007688,              0.0007688,              0.0007688
                     30,                0.44763,                0.56856,                0.38734,                0.83283,                0.93496,                0.79293,                0.90548,                0.71056,                0.91912,                0.78283,                0.88671,                0.69768,                0.79909,                 1.5741,                0.64834,                 1.0145,             0.00074522,             0.00074522,             0.00074522
                     31,                0.43371,                0.54711,                0.38269,                 0.8469,                0.83641,                0.82365,                 0.8667,                0.69169,                0.82322,                0.79964,                0.85542,                0.66157,                0.82674,                  1.678,                0.71273,                  1.029,             0.00072164,             0.00072164,             0.00072164
                     32,                0.45078,                0.57317,                0.38907,                0.84462,                0.89726,                0.82678,                0.88923,                0.69465,                0.88892,                0.81979,                0.86958,                0.67238,                0.80012,                 1.7256,                0.64601,                 1.0347,             0.00069807,             0.00069807,             0.00069807
                     33,                0.43344,                 0.5122,                 0.3839,                0.84636,                0.93689,                0.82084,                 0.9099,                0.71479,                0.92787,                0.81326,                0.89742,                0.69831,                0.79041,                 1.6831,                0.62647,                 1.0047,             0.00067449,             0.00067449,             0.00067449
                     34,                 0.4397,                 0.5246,                0.38075,                0.83468,                0.90235,                0.83067,                0.90581,                0.70282,                0.88424,                0.82818,                0.88799,                0.69555,                 0.8605,                 1.6535,                0.60251,                 1.0602,             0.00065091,             0.00065091,             0.00065091
                     35,                0.42946,                0.48418,                0.36164,                0.83708,                0.94043,                0.83103,                0.91955,                0.71751,                0.94549,                0.79822,                 0.8943,                0.69931,                0.84905,                 1.5983,                0.63897,                 1.0276,             0.00062733,             0.00062733,             0.00062733
                     36,                0.43302,                0.52906,                0.36983,                0.82681,                0.96301,                0.85041,                0.91319,                0.72616,                0.96301,                0.85041,                0.91388,                0.71677,                0.77557,                 1.5642,                0.64078,                0.98476,             0.00060375,             0.00060375,             0.00060375
                     37,                 0.4071,                0.51868,                0.34699,                0.83205,                0.96148,                0.84609,                0.91235,                0.73317,                0.96148,                0.84609,                0.90924,                0.71962,                0.75399,                 1.5485,                0.65465,                0.97242,             0.00058017,             0.00058017,             0.00058017
                     38,                0.41313,                0.51549,                 0.3495,                0.82847,                0.95539,                0.81468,                 0.9003,                0.72374,                0.95539,                0.81468,                0.89061,                0.70377,                0.73453,                 1.5037,                0.64628,                0.96116,              0.0005566,              0.0005566,              0.0005566
                     39,                0.42898,                0.53853,                 0.3486,                0.82415,                0.94304,                 0.8213,                 0.9033,                0.72275,                0.94481,                0.82113,                0.89372,                0.70532,                0.74332,                 1.5997,                0.65452,                0.96062,             0.00053302,             0.00053302,             0.00053302
                     40,                0.40549,                0.49576,                0.35139,                0.82766,                0.93831,                0.83859,                0.91015,                 0.7255,                0.94344,                0.83347,                0.88868,                0.71099,                0.74481,                 1.7949,                0.64507,                0.96173,             0.00050944,             0.00050944,             0.00050944
                     41,                0.39215,                0.50251,                0.32558,                0.82897,                0.91911,                0.85005,                 0.9031,                0.72333,                0.91489,                 0.8279,                0.87685,                0.70252,                0.74217,                 1.7627,                0.60557,                0.97615,             0.00048586,             0.00048586,             0.00048586
                     42,                0.37558,                0.51208,                0.32131,                0.82465,                0.92908,                0.85601,                0.91381,                0.72295,                0.91716,                0.84603,                0.88811,                0.71234,                0.74774,                 1.7251,                0.56861,                0.98731,             0.00046228,             0.00046228,             0.00046228
                     43,                0.38839,                 0.5026,                0.32613,                0.82871,                0.94452,                0.84357,                0.92111,                0.72855,                0.93267,                0.83347,                0.89217,                0.71295,                 0.7635,                 1.6648,                0.54758,                0.98949,              0.0004387,              0.0004387,              0.0004387
                     44,                0.38244,                0.48352,                0.31366,                0.82317,                0.90765,                0.87648,                0.93739,                0.73216,                0.92622,                0.84905,                0.92136,                0.71353,                0.77874,                 1.5339,                0.53843,                0.99002,             0.00041512,             0.00041512,             0.00041512
                     45,                0.40187,                0.53083,                0.33066,                0.82275,                0.91851,                0.89335,                0.93752,                0.73483,                0.91051,                0.88606,                0.92342,                0.71832,                0.76757,                 1.5302,                0.53353,                0.98663,             0.00039155,             0.00039155,             0.00039155
                     46,                0.40249,                0.52056,                0.32309,                0.82966,                0.90852,                0.89155,                0.93281,                0.74022,                0.92208,                0.88029,                0.91854,                0.73197,                  0.755,                 1.6036,                0.53271,                0.98228,             0.00036797,             0.00036797,             0.00036797
                     47,                0.38293,                 0.4981,                0.31872,                0.82734,                0.93007,                0.86436,                0.93457,                0.73472,                0.93007,                0.86436,                0.92045,                0.72936,                0.76508,                  1.675,                0.54301,                0.98875,             0.00034439,             0.00034439,             0.00034439
                     48,                0.38318,                0.50829,                0.31181,                0.82944,                0.93239,                0.84963,                0.91324,                0.71937,                0.94369,                0.83745,                  0.896,                0.71455,                0.76182,                 1.8192,                0.56908,                0.99047,             0.00032081,             0.00032081,             0.00032081
                     49,                0.38058,                0.48951,                0.31131,                0.83083,                0.93044,                0.85063,                0.90845,                0.71421,                0.93044,                0.85063,                0.89345,                0.70663,                 0.7689,                 1.8547,                0.57211,                 1.0011,             0.00029723,             0.00029723,             0.00029723
                     50,                0.38352,                0.50593,                0.30858,                0.83151,                0.93602,                0.83347,                0.91156,                0.71316,                0.93602,                0.83347,                0.89614,                0.70635,                0.75269,                 1.8063,                 0.5616,                0.99123,             0.00027365,             0.00027365,             0.00027365
                     51,                0.42539,                0.58868,                0.32273,                0.82604,                0.93356,                0.84239,                0.90914,                0.71502,                0.93356,                0.84239,                0.89638,                0.70146,                0.74515,                 1.8728,                0.56809,                0.98801,             0.00025007,             0.00025007,             0.00025007
                     52,                0.42959,                0.63291,                0.31829,                0.81091,                0.90712,                0.84243,                0.91608,                0.72706,                0.91971,                0.85106,                0.90667,                 0.7093,                0.73271,                   1.71,                  0.562,                0.98767,              0.0002265,              0.0002265,              0.0002265
                     53,                0.40096,                 0.6192,                0.31644,                0.81992,                0.88344,                0.84583,                0.90739,                0.72277,                0.89387,                0.85593,                0.90421,                   0.71,                 0.7173,                 1.6406,                0.56174,                0.97966,             0.00020292,             0.00020292,             0.00020292
                     54,                0.39425,                0.58495,                0.29332,                0.80373,                0.92864,                0.85978,                0.91794,                0.71949,                0.91959,                 0.8522,                0.90234,                0.71092,                0.72279,                 1.5894,                0.54691,                0.98063,             0.00017934,             0.00017934,             0.00017934
                     55,                0.38805,                0.55175,                  0.309,                0.81885,                0.91699,                0.86124,                0.92308,                0.72903,                0.90805,                0.85367,                0.90347,                0.71921,                0.73509,                 1.6323,                 0.5457,                0.98309,             0.00015576,             0.00015576,             0.00015576
                     56,                0.41447,                0.55383,                0.30262,                 0.8163,                0.88341,                0.86306,                0.92079,                0.72986,                0.87261,                0.85335,                0.88705,                0.71486,                0.73747,                 1.7087,                0.54674,                0.97917,             0.00013218,             0.00013218,             0.00013218
                     57,                0.36542,                0.56939,                 0.2743,                 0.8108,                0.85889,                0.88381,                0.92326,                0.73588,                0.85653,                 0.8843,                0.89104,                0.71561,                0.73232,                 1.6725,                 0.5442,                0.97286,              0.0001086,              0.0001086,              0.0001086
                     58,                0.37265,                0.54331,                0.28029,                0.80453,                 0.8675,                0.87443,                0.91758,                0.73968,                0.85143,                0.87525,                0.88638,                0.71577,                0.73249,                 1.6753,                0.53954,                0.97313,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     59,                0.38546,                 0.5332,                0.27184,                0.80276,                0.87143,                0.86476,                0.91779,                0.73707,                0.85777,                0.88337,                0.88581,                0.71993,                0.73051,                 1.6591,                 0.5394,                0.97173,             6.1447e-05,             6.1447e-05,             6.1447e-05
                     60,                0.37994,                0.54269,                0.27612,                0.81853,                0.87202,                0.86882,                0.91843,                0.73594,                0.84966,                0.86548,                0.88723,                0.71946,                0.73334,                 1.6428,                0.54777,                0.97433,             3.7869e-05,             3.7869e-05,             3.7869e-05
