                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     42,                 0.4568,                 0.4044,                0.84312,                0.92947,                0.81868,                0.91268,                 0.7022,                0.84497,                0.61705,                 1.0908,             0.00070396,             0.00070396,             0.00070396
                     43,                 0.4589,                0.41862,                0.85051,                0.96298,                0.81425,                0.90429,                0.69238,                0.85401,                0.65495,                 1.0826,             0.00068628,             0.00068628,             0.00068628
                     44,                0.44791,                0.38692,                0.84122,                0.87811,                0.84297,                0.90406,                0.69729,                0.85459,                0.63758,                 1.0808,             0.00066859,             0.00066859,             0.00066859
                     45,                0.47564,                0.41619,                0.84175,                0.90681,                0.82084,                0.90032,                0.69227,                0.82625,                0.64095,                 1.0814,             0.00065091,             0.00065091,             0.00065091
                     46,                0.47095,                0.41728,                0.85038,                0.93882,                 0.8497,                0.92669,                0.71942,                0.78071,                0.57194,                 1.0768,             0.00063323,             0.00063323,             0.00063323
                     47,                0.45288,                0.39008,                0.84914,                0.95536,                0.85612,                0.94541,                0.74263,                0.75398,                0.50755,                 1.0547,             0.00061554,             0.00061554,             0.00061554
                     48,                0.46242,                0.38929,                0.85379,                0.94571,                0.85184,                0.94751,                0.72364,                0.77935,                0.50291,                 1.0641,             0.00059786,             0.00059786,             0.00059786
                     49,                 0.4631,                0.38705,                0.85445,                0.90448,                0.84357,                0.93432,                0.71556,                0.77194,                0.54022,                 1.0573,             0.00058017,             0.00058017,             0.00058017
                     50,                0.46372,                0.37963,                0.84912,                0.89546,                0.82543,                0.91624,                0.69771,                0.78891,                0.55982,                 1.0627,             0.00056249,             0.00056249,             0.00056249
                     51,                0.46746,                0.40007,                0.84509,                0.89526,                0.81348,                0.90157,                0.68254,                 0.7991,                0.61255,                 1.0744,             0.00054481,             0.00054481,             0.00054481
                     52,                0.43529,                 0.3659,                 0.8426,                0.83985,                0.84091,                 0.8879,                0.67895,                0.84528,                0.62645,                 1.0894,             0.00052712,             0.00052712,             0.00052712
                     53,                0.44348,                0.38022,                0.84104,                0.85546,                0.84901,                0.90152,                0.70311,                0.81926,                0.59938,                 1.0867,             0.00050944,             0.00050944,             0.00050944
                     54,                0.44188,                0.37297,                 0.8511,                0.85995,                0.87769,                 0.9165,                0.73607,                0.77382,                0.54281,                 1.0712,             0.00049175,             0.00049175,             0.00049175
                     55,                0.45311,                0.37255,                0.84194,                0.88723,                0.90357,                0.92754,                0.72188,                0.81548,                0.52731,                 1.0907,             0.00047407,             0.00047407,             0.00047407
                     56,                0.46082,                0.38853,                0.84185,                0.87183,                0.88835,                0.93287,                0.71127,                0.80788,                0.55572,                  1.087,             0.00045639,             0.00045639,             0.00045639
                     57,                0.45032,                0.36794,                0.83966,                0.89991,                0.83739,                0.91544,                0.70277,                0.81681,                0.58237,                 1.0887,              0.0004387,              0.0004387,              0.0004387
                     58,                0.43084,                0.34495,                0.82963,                0.91788,                0.82337,                 0.9053,                 0.6904,                0.83533,                0.61573,                 1.0851,             0.00042102,             0.00042102,             0.00042102
                     59,                0.43998,                  0.372,                0.83821,                 0.9373,                0.82761,                 0.9098,                0.70426,                0.80049,                 0.6172,                 1.0679,             0.00040334,             0.00040334,             0.00040334
                     60,                0.41371,                0.36769,                0.83469,                 0.9322,                0.82507,                0.90907,                0.69298,                0.81309,                0.59635,                 1.0805,             0.00038565,             0.00038565,             0.00038565
                     61,                 0.4338,                0.37147,                 0.8404,                0.92847,                0.82044,                0.91019,                0.69394,                0.81988,                0.60116,                 1.0706,             0.00036797,             0.00036797,             0.00036797
                     62,                0.41381,                0.35156,                0.83478,                0.92636,                  0.823,                0.90484,                0.70857,                 0.8289,                0.59278,                 1.0743,             0.00035028,             0.00035028,             0.00035028
                     63,                0.41607,                0.34701,                 0.8374,                0.89654,                 0.8529,                0.91334,                0.70547,                0.81713,                0.56315,                 1.0714,              0.0003326,              0.0003326,              0.0003326
                     64,                0.40124,                0.36188,                0.83301,                0.87868,                0.86478,                0.92501,                0.71756,                0.80506,                0.52782,                  1.068,             0.00031492,             0.00031492,             0.00031492
                     65,                0.39203,                0.34554,                0.83887,                0.92759,                0.84609,                0.92726,                0.72343,                0.79845,                0.50827,                 1.0698,             0.00029723,             0.00029723,             0.00029723
                     66,                 0.3868,                0.32648,                 0.8265,                0.93286,                0.85569,                0.93477,                0.72348,                0.80402,                0.50007,                 1.0655,             0.00027955,             0.00027955,             0.00027955
                     67,                0.39033,                 0.3429,                0.82579,                0.93987,                 0.8623,                0.93281,                0.71842,                0.80493,                0.51523,                 1.0787,             0.00026186,             0.00026186,             0.00026186
                     68,                 0.3958,                0.34305,                0.82879,                0.93443,                0.86309,                0.92728,                0.71391,                0.81073,                0.52342,                  1.094,             0.00024418,             0.00024418,             0.00024418
                     69,                0.39517,                0.32966,                0.82714,                0.92984,                0.86897,                0.92678,                0.71155,                 0.8181,                 0.5229,                 1.0846,              0.0002265,              0.0002265,              0.0002265
                     70,                0.39793,                0.31402,                  0.822,                0.94348,                 0.8719,                0.92912,                0.70609,                0.80745,                0.50751,                 1.0803,             0.00020881,             0.00020881,             0.00020881
                     71,                0.42014,                0.33192,                0.82797,                0.88975,                0.89124,                 0.9275,                0.71629,                0.79186,                0.50858,                 1.0789,             0.00019113,             0.00019113,             0.00019113
                     72,                0.40948,                0.30435,                0.82069,                0.88651,                0.88636,                0.91727,                0.70216,                0.79653,                0.53497,                  1.085,             0.00017344,             0.00017344,             0.00017344
                     73,                0.41561,                0.35144,                0.81879,                0.86948,                0.88314,                0.91276,                0.69575,                0.80129,                0.55003,                 1.0851,             0.00015576,             0.00015576,             0.00015576
                     74,                0.39751,                  0.315,                0.82301,                0.89118,                0.88392,                0.94162,                0.71989,                0.80163,                0.51313,                 1.0885,             0.00013808,             0.00013808,             0.00013808
                     75,                 0.3846,                 0.2956,                0.80136,                0.89901,                0.90764,                0.95353,                0.72409,                 0.8072,                0.49229,                 1.0966,             0.00012039,             0.00012039,             0.00012039
                     76,                0.37531,                0.29864,                0.81273,                0.90349,                0.91529,                0.95576,                0.73429,                0.80966,                 0.4756,                 1.0905,             0.00010271,             0.00010271,             0.00010271
                     77,                0.40267,                0.29638,                0.81667,                0.88664,                0.91414,                0.94877,                0.72555,                0.81714,                0.48774,                 1.0895,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     78,                0.39281,                0.29145,                0.81514,                0.90407,                0.90977,                0.95012,                0.71797,                0.81878,                  0.495,                 1.0907,             6.7342e-05,             6.7342e-05,             6.7342e-05
                     79,                0.38498,                0.29513,                0.81903,                0.90423,                0.90502,                0.94876,                0.71883,                0.82139,                0.49182,                 1.0947,             4.9658e-05,             4.9658e-05,             4.9658e-05
                     80,                0.39582,                0.29223,                0.81554,                 0.9031,                0.89737,                0.94179,                0.71777,                0.81828,                 0.4943,                 1.0909,             3.1974e-05,             3.1974e-05,             3.1974e-05
