                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.53582,                0.49779,                0.84883,                0.91253,                0.89394,                0.95642,                0.72905,                 0.7918,                0.59593,                 1.0727,             0.00018577,             0.00018577,             0.00018577
                      2,                 0.5151,                0.51885,                0.84943,                0.89918,                0.85523,                0.91688,                0.70683,                0.82448,                0.60036,                 1.0924,             0.00038106,             0.00038106,             0.00038106
                      3,                0.51257,                0.51578,                0.85286,                0.87194,                0.78283,                0.90525,                0.70045,                0.82104,                0.74003,                 1.1002,             0.00057139,             0.00057139,             0.00057139
                      4,                0.54689,                0.54587,                0.86854,                0.83868,                0.92781,                0.92037,                0.66984,                0.89851,                0.65066,                 1.1349,             0.00075677,             0.00075677,             0.00075677
                      5,                0.55214,                0.56763,                0.88625,                 0.8524,                0.87387,                 0.9133,                0.68724,                0.84587,                0.69477,                 1.0609,              0.0009372,              0.0009372,              0.0009372
                      6,                0.58314,                0.64812,                0.88749,                0.84387,                0.68611,                0.75498,                0.58918,                0.96279,                 1.0096,                 1.1281,              0.0011127,              0.0011127,              0.0011127
                      7,                0.62261,                0.60932,                0.88569,                0.88429,                0.68484,                0.84556,                0.62198,                0.87639,                0.84303,                 1.1075,              0.0012832,              0.0012832,              0.0012832
                      8,                 0.5999,                0.64658,                  0.892,                0.78432,                0.73909,                 0.7772,                0.57415,                0.95802,                 0.8791,                  1.164,              0.0013052,              0.0013052,              0.0013052
                      9,                0.57519,                0.56882,                0.87594,                 0.8159,                0.75116,                0.81452,                0.59249,                0.92709,                0.87648,                 1.1547,              0.0012875,              0.0012875,              0.0012875
                     10,                0.60386,                0.57589,                0.88479,                0.75225,                0.76968,                0.88779,                0.67404,                0.83757,                0.86919,                 1.1024,              0.0012698,              0.0012698,              0.0012698
                     11,                0.59897,                0.57116,                0.88993,                0.84734,                 0.8105,                0.88956,                0.68449,                0.83453,                0.85556,                 1.0776,              0.0012522,              0.0012522,              0.0012522
                     12,                0.58453,                0.58908,                0.88595,                0.84231,                 0.8384,                0.90233,                0.67909,                0.85595,                0.87006,                 1.1244,              0.0012345,              0.0012345,              0.0012345
                     13,                0.57316,                0.57293,                0.87977,                0.83054,                0.82867,                 0.8984,                 0.6439,                0.93263,                 0.8365,                 1.1616,              0.0012168,              0.0012168,              0.0012168
                     14,                0.56777,                0.54234,                0.88255,                0.89123,                0.85949,                0.89721,                0.65608,                0.84668,                0.72584,                  1.111,              0.0011991,              0.0011991,              0.0011991
                     15,                 0.5733,                0.54089,                0.87372,                0.87604,                0.83974,                0.90132,                0.66074,                0.86057,                 0.6999,                 1.1398,              0.0011814,              0.0011814,              0.0011814
                     16,                 0.5983,                0.57268,                0.88202,                0.84427,                0.77537,                0.86712,                0.64433,                0.84488,                 0.7764,                 1.1129,              0.0011637,              0.0011637,              0.0011637
                     17,                0.57932,                0.53324,                0.88495,                0.84301,                0.82829,                0.88287,                0.68372,                0.82698,                0.78114,                 1.0924,              0.0011461,              0.0011461,              0.0011461
                     18,                0.59137,                0.56479,                0.87504,                0.80471,                0.75504,                0.85391,                0.64253,                0.87205,                0.78059,                 1.1206,              0.0011284,              0.0011284,              0.0011284
                     19,                0.55371,                0.52101,                0.88471,                0.78265,                0.81761,                0.87099,                0.66143,                0.83789,                0.76454,                 1.1081,              0.0011107,              0.0011107,              0.0011107
                     20,                0.58245,                0.53492,                0.88544,                0.84327,                0.90403,                 0.9108,                0.68603,                0.84022,                0.67272,                 1.0672,               0.001093,               0.001093,               0.001093
                     21,                0.54445,                0.53129,                0.88552,                0.92888,                0.86316,                0.92587,                0.71657,                 0.8215,                0.60641,                 1.0656,              0.0010753,              0.0010753,              0.0010753
                     22,                  0.534,                0.52501,                0.86806,                0.85817,                0.84357,                0.87279,                 0.6578,                0.95683,                0.67744,                 1.2105,              0.0010576,              0.0010576,              0.0010576
                     23,                0.55664,                0.51695,                0.86906,                0.87589,                0.89967,                0.91149,                0.69754,                0.87488,                0.61825,                 1.1334,                0.00104,                0.00104,                0.00104
                     24,                0.56469,                0.50344,                0.87661,                0.89206,                0.83599,                0.87835,                0.68431,                0.88474,                 0.6961,                 1.1231,              0.0010223,              0.0010223,              0.0010223
                     25,                0.58101,                0.53666,                0.88305,                0.85711,                 0.7811,                0.85712,                0.64918,                0.88804,                 0.7157,                 1.1238,              0.0010046,              0.0010046,              0.0010046
                     26,                0.54061,                0.47926,                0.86223,                0.77548,                0.81831,                0.84528,                0.66206,                0.81926,                0.75807,                 1.0694,              0.0009869,              0.0009869,              0.0009869
                     27,                0.55457,                0.49308,                0.86668,                0.86467,                0.82337,                0.88353,                0.66833,                0.82285,                0.69809,                 1.0727,             0.00096922,             0.00096922,             0.00096922
                     28,                0.55776,                0.51213,                0.86647,                0.83335,                0.83347,                0.88548,                0.67654,                0.80317,                0.69829,                 1.0688,             0.00095154,             0.00095154,             0.00095154
                     29,                0.53652,                0.48155,                0.86866,                0.83796,                0.81961,                0.86242,                0.67294,                0.81358,                0.73078,                 1.0831,             0.00093385,             0.00093385,             0.00093385
                     30,                0.50122,                0.45904,                0.85411,                0.80113,                0.72831,                0.79696,                0.63335,                0.79443,                0.76204,                  1.062,             0.00091617,             0.00091617,             0.00091617
                     31,                 0.5125,                0.45496,                0.87017,                0.78859,                0.74761,                0.82041,                0.64676,                0.81794,                 0.7501,                 1.0752,             0.00089848,             0.00089848,             0.00089848
                     32,                  0.531,                0.47636,                0.86263,                0.86428,                0.84551,                0.91301,                0.68543,                0.83501,                0.67423,                  1.066,              0.0008808,              0.0008808,              0.0008808
                     33,                0.51005,                0.45233,                0.86789,                0.86033,                0.87318,                0.90412,                0.68578,                0.78998,                0.65097,                 1.0649,             0.00086312,             0.00086312,             0.00086312
                     34,                0.51626,                0.46626,                0.85913,                0.89628,                0.78122,                0.85749,                0.66358,                0.85078,                 0.7629,                 1.0783,             0.00084543,             0.00084543,             0.00084543
                     35,                0.50177,                0.47314,                0.86214,                0.89601,                0.83599,                0.88214,                0.70299,                0.79503,                0.66744,                 1.0646,             0.00082775,             0.00082775,             0.00082775
                     36,                0.51704,                0.44714,                0.85703,                0.90948,                0.85481,                0.91266,                0.71863,                 0.8396,                 0.6329,                 1.0829,             0.00081006,             0.00081006,             0.00081006
                     37,                0.48602,                0.42858,                0.85366,                0.90872,                0.80504,                0.90025,                0.70355,                0.83611,                0.71835,                 1.0837,             0.00079238,             0.00079238,             0.00079238
                     38,                0.48522,                0.42983,                0.84589,                0.88184,                0.74468,                0.86905,                0.67123,                0.84744,                0.79138,                 1.0974,              0.0007747,              0.0007747,              0.0007747
                     39,                0.49998,                0.42661,                0.84513,                0.84699,                0.77318,                0.85513,                0.64483,                 0.8792,                0.76187,                 1.1264,             0.00075701,             0.00075701,             0.00075701
                     40,                0.48088,                0.42072,                0.84464,                0.91456,                0.88218,                 0.9466,                0.70319,                0.84076,                0.61167,                 1.0972,             0.00073933,             0.00073933,             0.00073933
                     41,                 0.4788,                0.40616,                0.85158,                0.89924,                 0.8735,                0.93966,                0.71128,                0.83357,                0.57941,                 1.0791,             0.00072164,             0.00072164,             0.00072164
