                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     24,               0.045819,               0.016382,               0.015918,              0.0083739,                0.84913,                 0.7249,                0.83142,                0.40508,                0.84868,                0.71342,                0.76851,                0.53085,               0.048421,               0.021741,                0.01148,              0.0077499,              0.0071538,              0.0071538,              0.0071538
                     25,               0.044571,               0.017894,               0.015354,              0.0073842,                0.80519,                0.68294,                0.76888,                0.37435,                0.87073,                0.71548,                0.79027,                0.56275,               0.045739,                0.01846,               0.011292,               0.009082,                0.00703,                0.00703,                0.00703
                     26,               0.042136,                0.01695,               0.015635,              0.0078546,                0.79205,                0.74921,                 0.7771,                0.44586,                0.76195,                0.72698,                0.76183,                0.54418,               0.043245,               0.016939,                0.01045,              0.0074364,              0.0069063,              0.0069063,              0.0069063
                     27,               0.043482,               0.016859,               0.014832,              0.0073787,                0.91881,                0.81775,                0.85639,                 0.4983,                0.91881,                0.81775,                0.85488,                0.60274,               0.039655,               0.016737,               0.009943,              0.0084595,              0.0067825,              0.0067825,              0.0067825
                     28,               0.039142,                0.01787,               0.016299,              0.0093951,                0.92676,                0.83846,                0.88064,                0.51111,                0.93981,                0.84845,                0.88801,                 0.6213,               0.038185,               0.015979,                0.01009,              0.0059669,              0.0066587,              0.0066587,              0.0066587
                     29,               0.039311,               0.017655,               0.016385,              0.0065541,                0.89232,                0.83607,                0.88697,                0.43754,                0.96752,                0.77864,                0.86995,                0.58753,               0.043406,               0.016558,               0.011196,              0.0058353,               0.006535,               0.006535,               0.006535
                     30,               0.039659,                0.01617,               0.016325,              0.0065085,                0.67334,                0.71233,                0.72986,                 0.3463,                0.73344,                0.69754,                0.71631,                0.46717,               0.047917,               0.016855,               0.010725,              0.0051716,              0.0064112,              0.0064112,              0.0064112
                     31,                 0.0405,               0.015818,               0.014559,              0.0056173,                0.81387,                0.78982,                  0.773,                0.38986,                0.81439,                0.78974,                0.78081,                0.53277,               0.045421,               0.018845,               0.010416,              0.0057392,              0.0062875,              0.0062875,              0.0062875
                     32,               0.039303,               0.016705,               0.014177,              0.0064389,                0.92462,                0.78492,                0.83793,                0.50979,                0.90997,                0.78492,                0.84157,                0.62505,               0.040215,               0.018082,              0.0099316,              0.0050594,              0.0061637,              0.0061637,              0.0061637
                     33,               0.039136,                0.01504,               0.014707,              0.0053661,                0.94547,                0.78412,                0.88762,                0.44792,                0.97351,                0.77302,                 0.8715,                0.63953,               0.042287,               0.016513,              0.0099258,              0.0051075,                0.00604,                0.00604,                0.00604
                     34,               0.037899,                0.01578,               0.014617,              0.0060985,                0.91685,                0.81734,                0.87723,                0.51626,                0.93268,                0.78681,                0.85067,                0.61193,               0.040534,               0.016101,               0.010227,              0.0069534,              0.0059163,              0.0059163,              0.0059163
                     35,               0.036976,               0.016315,                0.01463,              0.0060483,                0.94398,                0.80842,                0.86266,                0.53038,                0.93529,                0.81296,                0.86186,                0.62156,               0.040405,               0.014986,               0.010073,              0.0050491,              0.0057925,              0.0057925,              0.0057925
                     36,               0.038276,               0.016815,               0.014365,              0.0058849,                0.89811,                0.81196,                0.86509,                0.47715,                0.89811,                0.81196,                0.86057,                0.65018,               0.038925,               0.014808,               0.010376,                0.00441,              0.0056688,              0.0056688,              0.0056688
                     37,               0.034661,                0.01507,               0.014941,              0.0065646,                0.92586,                 0.8109,                0.86143,                0.51677,                0.92586,                 0.8109,                0.85793,                0.64366,               0.039629,               0.015123,               0.010477,              0.0047035,               0.005545,               0.005545,               0.005545
                     38,               0.035125,               0.014819,               0.014962,               0.005475,                 0.9171,                0.80412,                0.84339,                0.48647,                0.91754,                 0.8115,                0.85445,                0.60482,               0.039517,               0.014925,               0.010128,              0.0049805,              0.0054212,              0.0054212,              0.0054212
                     39,                0.03537,               0.016249,               0.014725,              0.0061402,                0.92066,                 0.8269,                0.85131,                0.54717,                0.92066,                 0.8269,                0.87796,                0.62903,               0.037079,               0.015161,              0.0095978,              0.0039997,              0.0052975,              0.0052975,              0.0052975
                     40,                0.03445,               0.015589,               0.014545,              0.0054899,                0.88315,                0.85042,                0.92443,                0.49232,                0.93226,                0.85317,                0.92715,                0.66291,               0.037835,               0.014788,               0.010057,              0.0041325,              0.0051737,              0.0051737,              0.0051737
                     41,               0.034622,               0.015104,               0.014796,               0.005659,                0.96929,                0.84992,                0.90861,                0.54578,                0.96929,                0.84992,                0.91713,                0.65232,               0.037251,               0.016289,              0.0096684,              0.0044003,                0.00505,                0.00505,                0.00505
                     42,               0.033452,               0.014926,               0.012765,              0.0047691,                0.97204,                0.83073,                0.94569,                0.57306,                0.97204,                0.83073,                 0.9439,                0.64421,               0.034192,               0.014985,               0.009285,              0.0039562,              0.0049263,              0.0049263,              0.0049263
                     43,               0.033121,               0.015107,               0.013631,              0.0063414,                0.88832,                0.81427,                0.87247,                 0.5493,                0.91694,                0.78758,                0.86144,                0.60049,                0.03727,               0.016388,               0.010479,              0.0064831,              0.0048025,              0.0048025,              0.0048025
                     44,                0.03127,               0.015679,               0.014095,              0.0055128,                0.82016,                0.78075,                 0.8376,                0.49238,                0.82016,                0.78075,                 0.8342,                0.58421,               0.040399,               0.016225,              0.0096207,              0.0062599,              0.0046788,              0.0046788,              0.0046788
                     45,               0.031441,               0.015039,               0.013341,              0.0063319,                0.88423,                0.81905,                0.84982,                 0.5344,                 0.9048,                 0.8099,                0.83539,                0.62473,               0.036351,               0.016322,               0.010185,              0.0079376,               0.004555,               0.004555,               0.004555
                     46,               0.030421,               0.014333,               0.013504,              0.0047422,                0.91906,                0.81905,                0.85309,                0.53204,                0.91906,                0.81905,                0.84818,                0.59654,               0.035677,               0.016172,              0.0097847,              0.0072372,              0.0044313,              0.0044313,              0.0044313
                     47,               0.029957,                0.01368,                0.01309,              0.0045582,                0.87105,                0.84009,                0.85879,                0.54964,                0.85999,                0.82731,                0.85565,                0.62634,               0.036673,               0.015377,              0.0095081,              0.0062977,              0.0043075,              0.0043075,              0.0043075
                     48,               0.031014,               0.014521,               0.013228,              0.0049186,                0.89283,                0.85207,                0.89637,                0.55081,                 0.8807,                0.84035,                0.88307,                0.65376,               0.035644,               0.015324,              0.0094624,              0.0066902,              0.0041837,              0.0041837,              0.0041837
                     49,                0.02988,               0.014827,               0.012621,              0.0046748,                0.92764,                0.81573,                0.89236,                 0.5609,                0.91555,                0.80382,                0.87205,                0.61704,               0.033752,               0.014783,              0.0098381,              0.0070656,                0.00406,                0.00406,                0.00406
                     50,               0.029797,                0.01503,               0.011991,              0.0037922,                0.94695,                0.81797,                0.89657,                0.56275,                0.93601,                0.80607,                0.87471,                0.65332,               0.033975,               0.014532,              0.0098038,              0.0064384,              0.0039362,              0.0039362,              0.0039362
                     51,               0.029803,               0.015139,               0.013018,              0.0048592,                0.90707,                0.85476,                0.90972,                0.57528,                0.89622,                0.84286,                0.87839,                0.63064,               0.032509,               0.015187,              0.0093937,              0.0054108,              0.0038125,              0.0038125,              0.0038125
                     52,               0.029188,               0.014268,               0.012486,              0.0039193,                0.96988,                0.83064,                0.89451,                0.55415,                0.95427,                0.83547,                0.89026,                0.64515,               0.033291,               0.014684,              0.0098991,              0.0052998,              0.0036888,              0.0036888,              0.0036888
                     53,               0.029591,               0.013196,               0.012602,              0.0039219,                0.97305,                0.85476,                0.89991,                0.56388,                0.97305,                0.85476,                0.89991,                0.65552,               0.032964,               0.014222,              0.0099831,              0.0047321,               0.003565,               0.003565,               0.003565
                     54,               0.028969,               0.014683,               0.011851,              0.0031955,                 0.9586,                0.82303,                0.90127,                0.58165,                 0.9586,                0.82303,                0.88843,                0.64628,               0.032152,               0.014519,              0.0096703,              0.0048374,              0.0034413,              0.0034413,              0.0034413
                     55,               0.028605,               0.014023,               0.012715,              0.0041224,                0.95506,                0.83184,                0.89665,                0.57905,                0.95506,                0.83184,                0.88573,                0.63764,               0.031893,               0.014523,              0.0095873,              0.0059681,              0.0033175,              0.0033175,              0.0033175
                     56,               0.027869,               0.014176,               0.012562,              0.0030965,                0.93851,                0.84127,                0.90995,                0.60454,                0.92561,                0.82937,                 0.8916,                0.64071,                0.03206,               0.014586,              0.0095673,              0.0064018,              0.0031938,              0.0031938,              0.0031938
                     57,               0.026462,               0.014665,               0.012015,              0.0037417,                0.91416,                0.85317,                0.91033,                0.58932,                0.91416,                0.85317,                0.89773,                0.65152,               0.032318,               0.014761,              0.0096397,              0.0059052,                0.00307,                0.00307,                0.00307
                     58,               0.026874,               0.013214,               0.011448,              0.0032313,                0.91345,                0.84286,                0.89927,                0.58038,                0.92321,                0.85476,                0.90221,                0.63348,               0.032562,               0.014506,              0.0094976,              0.0049278,              0.0029462,              0.0029462,              0.0029462
                     59,               0.026697,                0.01352,               0.012283,              0.0045833,                  0.955,                0.84541,                0.91609,                0.57336,                  0.955,                0.84541,                0.90063,                0.63565,               0.033327,                0.01419,              0.0091019,              0.0052288,              0.0028225,              0.0028225,              0.0028225
                     60,                0.02655,               0.015201,                0.01229,              0.0039484,                 0.9352,                0.84491,                0.91706,                0.59727,                 0.9352,                0.84491,                0.90437,                0.66423,               0.030792,               0.014087,              0.0091705,              0.0063389,              0.0026987,              0.0026987,              0.0026987
                     61,                0.02617,               0.014413,               0.012113,              0.0033752,                0.94141,                0.86508,                0.90672,                0.59089,                0.93068,                 0.8582,                0.89979,                0.64345,               0.030766,               0.014851,              0.0091877,              0.0058731,               0.002575,               0.002575,               0.002575
                     62,               0.024569,               0.013177,               0.011752,              0.0028693,                0.92832,                0.84441,                0.90498,                0.58859,                0.91528,                 0.8327,                0.89647,                0.65882,               0.031547,               0.014544,              0.0092735,              0.0067406,              0.0024513,              0.0024513,              0.0024513
                     63,               0.023958,               0.012737,               0.011221,              0.0030508,                 0.9185,                0.84286,                 0.8741,                0.59038,                0.88289,                0.85031,                0.88797,                0.65705,               0.031134,               0.014208,              0.0093613,              0.0068184,              0.0023275,              0.0023275,              0.0023275
