                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.38404,                0.31751,                0.82344,                0.85706,                0.82411,                0.89914,                0.70982,                0.79114,                0.59998,                 1.0709,              0.0004387,              0.0004387,              0.0004387
                     37,                0.36456,                0.31094,                0.82423,                0.87735,                0.82842,                0.90553,                 0.7109,                0.77709,                0.59339,                 1.0693,             0.00041041,             0.00041041,             0.00041041
                     38,                0.36375,                0.32092,                0.81743,                0.89127,                0.82591,                0.91117,                0.71425,                0.76663,                0.59391,                 1.0696,             0.00038211,             0.00038211,             0.00038211
                     39,                0.37599,                0.30937,                0.81464,                0.88291,                0.84067,                0.91113,                 0.7184,                0.76855,                0.59284,                 1.0789,             0.00035382,             0.00035382,             0.00035382
                     40,                0.35944,                0.30644,                0.81712,                0.86201,                0.84361,                0.90282,                  0.714,                0.78283,                0.60354,                  1.089,             0.00032553,             0.00032553,             0.00032553
                     41,                0.41865,                0.32836,                0.82119,                0.86898,                0.82288,                0.89479,                0.70291,                0.79761,                0.63439,                 1.1068,             0.00029723,             0.00029723,             0.00029723
                     42,                0.39989,                0.32464,                0.81175,                0.90915,                0.82327,                0.89337,                0.70446,                0.78601,                0.61958,                 1.1029,             0.00026894,             0.00026894,             0.00026894
                     43,                0.41736,                0.31786,                0.81947,                0.84293,                0.84104,                0.90401,                0.71534,                0.77428,                0.62818,                 1.1006,             0.00024064,             0.00024064,             0.00024064
                     44,                0.42002,                0.31453,                0.83048,                 0.9135,                 0.8308,                0.91227,                0.71298,                0.76673,                0.59872,                  1.098,             0.00021235,             0.00021235,             0.00021235
                     45,                0.42067,                0.28857,                0.82577,                0.91136,                 0.8273,                0.90318,                0.69571,                0.75128,                0.60203,                 1.0787,             0.00018406,             0.00018406,             0.00018406
                     46,                0.40228,                 0.3004,                0.80565,                0.88247,                0.80326,                0.88095,                0.70312,                0.77509,                0.62447,                 1.0818,             0.00015576,             0.00015576,             0.00015576
                     47,                0.41873,                0.31068,                0.81959,                0.88448,                0.78492,                0.88631,                0.70936,                 0.7739,                0.61449,                 1.0797,             0.00012747,             0.00012747,             0.00012747
                     48,                0.39766,                0.29367,                0.83427,                0.82695,                  0.875,                0.89857,                0.70814,                0.77297,                0.59642,                 1.0828,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                0.37541,                0.27933,                0.81144,                0.90802,                0.82122,                0.90064,                0.72132,                0.77241,                0.57731,                 1.0864,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     50,                0.39221,                0.28385,                0.81674,                0.90787,                0.81835,                0.90434,                0.72268,                0.77176,                0.56634,                 1.0871,             4.2584e-05,             4.2584e-05,             4.2584e-05
